"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"American InterContinental University-Atlanta","6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328","www.aiuniv.edu/Atlanta","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","1355","1273","21%","NA","Fall 2007","$18,468","-","438586","02113613"
"American InterContinental University-Houston","9999 Richmond Avenue, Houston, Texas 77042","www.houston.aiuniv.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","496","429","28%","NA","Fall 2007","$19,542","-","445133","02113610"
"American InterContinental University-Online","231 N. Martingale Rd., 6th Floor, Schaumburg, Illinois 60173","www.aiuniv.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","14170","12271","31%","NA","Fall 2007","$17,193","-","445027","02113600"
"American InterContinental University-South Florida","2250 North Commerce Pkwy, Weston, Florida 33326","www.aiuniv.edu/South-Florida","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","467","389","20%","NA","Fall 2007","$18,720","-","438601","02113609"
"American International College","1000 State Street, Springfield, Massachusetts 01109","www.aic.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","3607","1492","45%","11%","Fall 2007","$19,211","-","164447","00211400"
"American Jewish University","15600 Mulholland Dr, Los Angeles, California 90077-1519","www.aju.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","246","131","81%","6%","Fall 2007","$35,539","-","116846","00274100"
"American Musical and Dramatic Academy","211 West 61st Street, New York, New York 10023","www.amda.edu","4-year, primarily associate's, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree","City: Large","Yes","1429","1429","54%","NA","Fall 2007","$35,687","-","188854","00757200"
"American National University","1813 E Main St, Salem, Virginia 24153","www.an.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Midsize","No","2130","2099","27%","NA","Fall 2007","$20,543","-","232797","00372600"
"American Public University System","111 W Congress St, Charles Town, West Virginia 25414","www.apus.edu","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Fringe","No","58115","45772","42%","NA","Fall 2007","$8,839","-","449339","03819300"
"American Samoa Community College","PO Box 2609, Pago Pago, American Samoa 96799-2609","www.amsamoa.edu","4-year, primarily associate's, Public","One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Remote","No","1795","1795","41%","NA","Fall 2007","$2,142","-","240736","01001000"
"American Sentinel University","2260 South Xanadu Way, Aurora, Colorado 80014-6510","www.americansentinel.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","2969","1913","NA","NA","Fall 2007","$15,205","-","460738","04127700"
"American University","4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001","WWW.AMERICAN.EDU","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","12904","7299","80%","NA","Fall 2007","$32,548","-","131159","00143400"
"American University of Health Sciences","1600 East Hill St, Signal Hill, California 90755-3612","www.auhs.edu","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Master's degree","Suburb: Large","No","252","247","89%","NA","Fall 2007","$26,521","-","433004","03225300"
"American University of Puerto Rico","Carretera Estatal #2 Km.48.1, Manati, Puerto Rico 00674-1082","www.aupr.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","1120","1057","22%","NA","Fall 2007","$10,283","-","241128","01194101"
"American University of Puerto Rico","Carr. #2, Km.14.4, Bo. Hato Tejas, Bayamon, Puerto Rico 00960-2037","www.aupr.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","1172","1077","22%","NA","Fall 2007","$10,183","-","241100","01194100"
"Amherst College","Boltwood Avenue, Amherst, Massachusetts 01002-5000","www.amherst.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1817","1817","96%","NA","Fall 2007","$16,550","-","164465","00211500"
"Amridge University","1200 Taylor Rd, Montgomery, Alabama 36117-3553","www.amridgeuniversity.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","703","338","67%","NA","Fall 2007","$6,112","-","100690","02503400"
"Anamarc College-Santa Teresa","2660 Airport Rd Ste 780, Santa Teresa, New Mexico 88008","www.anamarc.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","No","106","106","NA","NA","Fall 2007","$15,609","Registered Nursing/Registered Nurse","459815","03756301"
"Anderson University","316 Boulevard, Anderson, South Carolina 29621-4035","www.andersonuniversity.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2922","2627","41%","NA","Fall 2007","$18,205","-","217633","00341800"
