"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Art Academy of Cincinnati","1212 Jackson Street, Cincinnati, Ohio 45202-1706","www.artacademy.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","202","195","53%","NA","Fall 2007","$19,340","-","201061","00301100"
"Art Center College of Design","1700 Lida St, Pasadena, California 91103","www.artcenter.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","1869","1657","64%","NA","Fall 2007","$43,055","-","109651","00111600"
"Asbury University","1 Macklem Dr, Wilmore, Kentucky 40390-1198","www.asbury.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Fringe","Yes","1780","1545","64%","NA","Fall 2007","$19,418","-","156213","00195200"
"Ashford University","400 N Bluff Blvd, Clinton, Iowa 52733-2967","www.ashford.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","77734","69380","21%","NA","Fall 2007","$20,266","-","154022","00188100"
"Ashland University","401 College Ave 206G Founders Hall, Ashland, Ohio 44805","www1.ashland.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","5954","3240","56%","NA","Fall 2007","$20,901","-","201104","00301200"
"Aspen University","720 S Colorado Blvd Ste 1150N, Denver, Colorado 80246","www.aspen.edu","4-year, Private for-profit","Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1189","325","NA","NA","Fall 2007","$21,029","-","454829","04080300"
"Assumption College","500 Salisbury St, Worcester, Massachusetts 01609-1296","www.assumption.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","2813","2281","73%","NA","Fall 2007","$26,674","-","164562","00211800"
"Atenas College","Paseo de La Atenas  #101, Manati, Puerto Rico 00674","www.atenascollege.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","1390","1390","82%","NA","Fall 2007","$7,634","-","440651","03544300"
"Athens State University","300 N Beaty St, Athens, Alabama 35611","www.athens.edu","4-year, Public","Bachelor's degree","Town: Fringe","No","3415","3415","NA","NA","Fall 2007","NA","-","100812","00100800"
"Atlanta Metropolitan State College","1630 Metropolitan Parkway, SW, Atlanta, Georgia 30310-4498","www.atlm.edu","4-year, primarily associate's, Public","Associate's degree|Bachelor's degree","City: Large","No","2871","2871","9%","17%","Fall 2007","$10,730","-","138901","01216500"
"Atlantic Institute of Oriental Medicine","100 E Broward Blvd, Suite 100, Fort Lauderdale, Florida 33301-3510","www.atom.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","156","18","NA","NA","Fall 2007","NA","-","439446","03429600"
"Atlantic University College","Colton St. # 9, Guaynabo, Puerto Rico 00970","www.atlanticu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","1416","1349","39%","NA","Fall 2007","$3,424","-","241216","02505400"
"Auburn University","Auburn, Alabama, Auburn University, Alabama 36849","www.auburn.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Small","Yes","25134","20175","68%","22%","Fall 2007","$17,014","-","100858","00100900"
"Auburn University at Montgomery","7440 East Drive, Montgomery, Alabama 36117-3596","www.aum.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","5005","4240","27%","38%","Fall 2007","$11,726","-","100830","00831000"
"Augsburg College","2211 Riverside Ave, Minneapolis, Minnesota 55454","www.augsburg.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","3645","2830","63%","NA","Fall 2007","$22,557","-","173045","00233400"
"Augustana College","2001 S Summit Ave, Sioux Falls, South Dakota 57197-0001","www.augie.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","1839","1793","66%","NA","Fall 2007","$19,378","-","219000","00345800"
"Augustana College","639 38th St, Rock Island, Illinois 61201-2296","www.augustana.edu","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","2551","2551","78%","NA","Fall 2007","$23,632","-","143084","00163300"
"Aurora University","347 S Gladstone Ave, Aurora, Illinois 60506-4892","www.aurora.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","4681","2994","58%","NA","Fall 2007","$17,529","-","143118","00163400"
"Austin College","900 N Grand Ave, Sherman, Texas 75090-4400","www.austincollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","1260","1242","72%","NA","Fall 2007","$25,124","-","222983","00354300"
"Austin Graduate School of Theology","7640 Guadalupe St, Austin, Texas 78752","www.austingrad.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","No","67","38","NA","NA","Fall 2007","NA","-","247825","02362800"
"Austin Peay State University","601 College St, Clarksville, Tennessee 37044","www.apsu.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","10597","9735","36%","13%","Fall 2007","$10,983","-","219602","00347800"
"Ave Maria University","5050 Ave Maria Blvd, Ave Maria, Florida 34142-9505","www.avemaria.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree","Rural: Distant","Yes","976","882","59%","NA","Fall 2007","$18,632","-","446048","03941300"
"Averett University","420 W Main St, Danville, Virginia 24541","www.averett.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Remote","Yes","914","892","33%","NA","Fall 2007","$19,343","-","231420","00370200"
"Averett University-Non-Traditional Programs","420 W Main St, Danville, Virginia 24541","www.averett.edu/adultprograms/index.php","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Remote","No","1403","886","NA","NA","Fall 2007","NA","-","449931","00370200"
"Avila University","11901 Wornall Rd, Kansas City, Missouri 64145-1698","www.Avila.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","1908","1325","49%","38%","Fall 2007","$18,789","-","176628","00244900"
"Azusa Pacific Online University","511 W Citrus Edge St, Glendora, California 91740","www.apu.edu/apou/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","505","505","NA","NA","Fall 2007","$12,840","-","474863","00111700"
"Azusa Pacific University","901 E Alosta, Azusa, California 91702-7000","www.apu.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","10184","6224","65%","NA","Fall 2007","$29,990","-","109785","00111700"
"Babson College","231 Forest Street, Wellesley, Massachusetts 02457-0310","www.babson.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","Yes","3250","2015","91%","NA","Fall 2007","$25,041","-","164580","00212100"
"Bacone College","2299 Old Bacone Rd, Muskogee, Oklahoma 74403-1597","www.bacone.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","1040","1040","5%","NA","Fall 2007","$14,245","-","206817","00314700"
"Bais HaMedrash and Mesivta of Baltimore","6823 Old Pimlico Road, Baltimore, Maryland 21209-1613","","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","42","42","78%","22%","Fall 2007","$11,250","-","476601","04188400"
"Bais Medrash Elyon","73 Main St, Monsey, New York 10952","","4-year, Private not-for-profit","Bachelor's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","29","10","25%","50%","Fall 2007","$1,225","-","245777","02622900"
"Bais Medrash Toras Chesed","901 Monmouth Ave, Lakewood, New Jersey 08701","","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","126","126","18%","50%","Fall 2007","$6,073","-","449658","04081300"
"Baker College Center for Graduate Studies","1116 W Bristol Rd, Flint, Michigan 48507","www.baker.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","5970","5133","0%","NA","Fall 2007","$21,770","-","414708","00467313"
"Baker College of Allen Park","4500 Enterprise Dr, Allen Park, Michigan 48101","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","3993","3991","9%","NA","Fall 2007","$12,987","-","444167","00467317"
"Baker College of Auburn Hills","1500 University Dr, Auburn Hills, Michigan 48326-2642","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","3439","3418","7%","NA","Fall 2007","$13,090","-","404073","00467305"
"Baker College of Cadillac","9600 E 13th St, Cadillac, Michigan 49601-9600","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Rural: Fringe","Yes","1828","1828","14%","NA","Fall 2007","$13,285","-","404648","00467301"
"Baker College of Clinton Township","34950 Little Mack Ave, Clinton Township, Michigan 48035","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","5140","5114","11%","NA","Fall 2007","$12,945","-","404082","00467302"
"Baker College of Flint","1050 West Bristol Road, Flint, Michigan 48507-5508","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","Yes","5534","5504","11%","NA","Fall 2007","$11,507","-","168847","00467300"
"Baker College of Jackson","2800 Springport Rd, Jackson, Michigan 49202-1290","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Small","No","2499","2484","13%","5%","Fall 2007","$11,738","-","414160","00467309"
"Baker College of Muskegon","1903 Marquette Ave, Muskegon, Michigan 49442","www.Baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","City: Small","Yes","4473","4464","15%","NA","Fall 2007","$13,184","-","171298","00467303"
"Baker College of Owosso","1020 S Washington St, Owosso, Michigan 48867","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Town: Distant","Yes","2972","2962","14%","NA","Fall 2007","$11,815","-","168838","00467304"
"Baker College of Port Huron","3403 Lapeer Road, Port Huron, Michigan 48060","www.baker.edu/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Small","No","1189","1187","23%","5%","Fall 2007","$9,421","-","381617","00467306"
"Baker University","618 Eighth Street, Baldwin City, Kansas 66006-0065","www.bakeru.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","3211","1936","52%","NA","Fall 2007","$18,771","-","154688","00190300"
"Baldwin Wallace University","275 Eastland Rd, Berea, Ohio 44017-2088","www.bw.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree","Suburb: Large","Yes","4169","3508","71%","NA","Fall 2007","$19,503","-","201195","00301400"
"Ball State University","2000 University Ave, Muncie, Indiana 47306","www.bsu.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Small","Yes","21053","16652","59%","NA","Fall 2007","$13,049","-","150136","00178600"
"Baptist Bible College","628 E Kearney, Springfield, Missouri 65803-3498","www.gobbc.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","390","321","35%","NA","Fall 2007","$11,888","-","176664","01320800"
"Baptist Bible College & Seminary of Pennsylvania","538 Venard Rd, Clarks Summit, Pennsylvania 18411-1250","www.bbc.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","1107","758","50%","NA","Fall 2007","$18,292","-","211024","00267000"
"Baptist Memorial College of Health Sciences","1003 Monroe Ave, Memphis, Tennessee 38104","www.bchs.edu","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","1043","1043","39%","NA","Fall 2007","$8,885","-","219639","03440300"
"Baptist Missionary Association Theological Seminary","1530 E Pine St, Jacksonville, Texas 75766-5407","www.bmats.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Rural: Fringe","Yes","119","55","100%","NA","Fall 2007","NA","-","223117","02331200"
"Baptist University of the Americas","8019 Pan Am Expwy, San Antonio, Texas 78224-1336","www.bua.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","200","200","29%","NA","Fall 2007","$10,236","-","444398","03733300"
"Barclay College","607 N Kingman, Haviland, Kansas 67059-0288","www.barclaycollege.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","Rural: Remote","Yes","263","239","59%","NA","Fall 2007","$12,535","-","155070","00191700"
"Bard College","Annandale Road, Annandale-On-Hudson, New York 12504-5000","www.bard.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","2342","2022","74%","NA","Fall 2007","$26,774","-","189088","00267100"
"Bard College at Simon's Rock","84 Alford Rd, Great Barrington, Massachusetts 01230-9702","www.simons-rock.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Rural: Fringe","Yes","354","354","67%","13%","Fall 2007","$34,218","-","167792","00964500"
"Barnard College","3009 Broadway, New York, New York 10027-6598","www.barnard.edu","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","2504","2504","90%","5%","Fall 2007","$23,852","-","189097","00270800"
"Barnes-Jewish College Goldfarb School of Nursing","4483 Duncan Avenue, Saint Louis, Missouri 63110","www.barnesjewishcollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree","City: Large","No","833","631","NA","NA","Fall 2007","NA","-","177719","00638900"
"Barry University","11300 NE 2nd Ave, Miami, Florida 33161-6695","www.barry.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","Suburb: Large","Yes","9070","4619","37%","48%","Fall 2007","$21,004","-","132471","00146600"
"Barton College","200 ACC Drive NE, Wilson, North Carolina 27893-7000","WWW.BARTON.EDU","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Fringe","Yes","1126","1114","48%","NA","Fall 2007","$21,781","-","197911","00290800"
"Bastyr University","14500 Juanita Drive NE, Kenmore, Washington 98028-4966","www.bastyr.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","Yes","1028","223","NA","NA","Fall 2007","NA","-","235547","02242500"
"Bates College","2 Andrews Road, Lewiston, Maine 04240","www.bates.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","1753","1753","93%","4%","Fall 2007","$22,649","-","160977","00203600"
"Bauder College","384 Northyards Blvd., Suite 190, Atlanta, Georgia 30313","www.bauder.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","753","753","24%","NA","Fall 2007","$19,693","-","139074","01157400"
"Bay Path College","588 Longmeadow Street, Longmeadow, Massachusetts 01106","www.baypath.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","Yes","2370","1558","55%","NA","Fall 2007","$21,087","-","164632","00212200"
"Bay State College","122 Commonwealth Avenue, Boston, Massachusetts 02116","www.baystate.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","1721","1721","27%","NA","Fall 2007","$25,728","-","164641","00396500"
"Bayamon Central University","Avenida Zaya Verde La Milagrosa Barrio Hato Tejas, Bayamón, Puerto Rico 00960-1725","www.ucb.edu.pr","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","2256","2010","28%","10%","Fall 2007","$7,110","-","241225","00502200"
"Baylor University","500 Speight Ave., Waco, Texas 76798","www.baylor.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","15364","12918","75%","NA","Fall 2007","$33,720","-","223232","00354500"
"Beacon College","105 E Main St, Leesburg, Florida 34748","www.beaconcollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Midsize","Yes","186","186","83%","6%","Fall 2007","$39,648","-","384254","03373300"
"Becker College","61 Sever St, Worcester, Massachusetts 01609-2165","www.becker.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","1826","1826","31%","46%","Fall 2007","$29,282","-","164720","00212300"
"Beckfield College-Florence","16 Spiral Drive, Florence, Kentucky 41042","www.beckfield.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","758","758","31%","NA","Fall 2007","$24,649","-","247065","02491100"
"Be'er Yaakov Talmudic Seminary","12 Jefferson Avenue, Spring Valley, New York 10977-1912","","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","255","255","71%","NA","Fall 2007","$7,234","-","476717","04192800"
"Beis Medrash Heichal Dovid","257 Beach 17th St, Far Rockaway, New York 11691","","4-year, Private not-for-profit","Bachelor's degree|Doctor's degree - research/scholarship","City: Large","Yes","123","111","10%","43%","Fall 2007","$10,646","-","444413","03713300"
"Belhaven University","1500 Peachtree St, Jackson, Mississippi 39202","www.belhaven.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","3531","2603","40%","NA","Fall 2007","$21,860","-","175421","00239700"
"Bellarmine University","2001 Newburg Rd, Louisville, Kentucky 40205-0671","www.bellarmine.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","3602","2730","66%","NA","Fall 2007","$23,977","-","156286","00195400"
"Bellevue College","3000 Landerholm Cir SE, Bellevue, Washington 98007-6484","bellevuecollege.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","13484","13484","24%","18%","Fall 2007","$7,503","-","234669","00376900"
"Bellevue University","1000 Galvin Rd S, Bellevue, Nebraska 68005-3098","bellevue.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","9942","6266","39%","28%","Fall 2007","$9,370","-","180814","00974300"
"Bellin College","3201 Eaton Road, Green Bay, Wisconsin 54311","www.bellincollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Fringe","No","271","248","68%","NA","Fall 2007","NA","-","238324","00663900"
"Belmont Abbey College","100 Belmont-Mt Holly Road, Belmont, North Carolina 28012-1802","www.belmontabbeycollege.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Midsize","Yes","1706","1706","38%","NA","Fall 2007","$22,087","-","197984","00291000"
"Belmont University","1900 Belmont Blvd, Nashville, Tennessee 37212-3757","www.belmont.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","Yes","6665","5289","68%","25%","Fall 2007","$30,357","-","219709","00347900"
"Beloit College","700 College St, Beloit, Wisconsin 53511-5595","www.beloit.edu","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","1330","1330","78%","NA","Fall 2007","$24,423","-","238333","00383500"
"Bemidji State University","1500 Birchmont Dr, Bemidji, Minnesota 56601","www.bemidjistate.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","5027","4754","48%","36%","Fall 2007","$12,749","-","173124","00233600"
"Benedict College","1600 Harden Street, Columbia, South Carolina 29204-1086","www.benedict.edu","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","2917","2917","30%","NA","Fall 2007","$18,076","-","217721","00342000"
"Benedictine College","1020 N 2nd St, Atchison, Kansas 66002-1499","www.benedictine.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","2149","2086","59%","NA","Fall 2007","$22,242","-","154712","01025600"
"Benedictine University","5700 College Rd, Lisle, Illinois 60532-0900","www.ben.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","6516","3724","52%","NA","Fall 2007","$20,078","-","145619","00176700"
"Benjamin Franklin Institute of Technology","41 Berkeley St, Boston, Massachusetts 02116","www.bfit.edu/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","Yes","475","475","48%","24%","Fall 2007","$17,246","-","165884","00215100"
"Bennett College","900 E Washington St, Greensboro, North Carolina 27401-3239","www.bennett.edu","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","707","707","44%","NA","Fall 2007","$19,532","-","197993","00291100"
"Bennington College","One College Drive, Bennington, Vermont 05201-6003","www.bennington.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","826","688","67%","NA","Fall 2007","$34,583","-","230816","00368200"
"Bentley University","175 Forest St, Waltham, Massachusetts 02452-4705","www.bentley.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Small","Yes","5647","4241","87%","NA","Fall 2007","$30,501","-","164739","00212400"
"Berea College","101 Chestnut Street, Berea, Kentucky 40404-2182","www.berea.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1658","1658","62%","NA","Fall 2007","$2,323","-","156295","00195500"
"Bergin University of Canine Studies","5860 Labath Avenue, Santa Rosa, California 94928","www.berginu.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","38","23","NA","NA","Fall 2007","NA","-","461643","04176300"
"Berkeley College-New York","3 East 43 Street, New York, New York 10017","www.BerkeleyCollege.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","4864","4864","31%","NA","Fall 2007","$25,545","-","189228","00739400"
"Berkeley College-Woodland Park","44 Rifle Camp Rd, Woodland Park, New Jersey 07424","www.BerkeleyCollege.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","2878","2878","31%","NA","Fall 2007","$19,542","-","183789","00750200"
"Berklee College of Music","1140 Boylston St, Boston, Massachusetts 02215","www.berklee.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","Yes","4522","4447","50%","20%","Fall 2007","$41,408","-","164748","00212600"
"Berry College","2277 Martha Berry Hwy NW, Mount Berry, Georgia 30149","www.berry.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Small","Yes","2166","2041","60%","NA","Fall 2007","$22,978","-","139144","00155400"
"Beth Hamedrash Shaarei Yosher Institute","4102 16th Ave, Brooklyn, New York 11204","","4-year, Private not-for-profit","Bachelor's degree|Doctor's degree - research/scholarship","City: Large","No","47","38","8%","83%","Fall 2007","$7,683","-","189273","01119200"
"Beth Hatalmud Rabbinical College","2127 82nd St, Brooklyn, New York 11214","","4-year, Private not-for-profit","Bachelor's degree","City: Large","No","43","43","12%","41%","Fall 2007","$7,589","-","189264","01192200"
"Beth Medrash Govoha","617 6th St, Lakewood, New Jersey 08701-2754","","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","6538","2696","NA","NA","Fall 2007","NA","-","183804","00794700"
"Bethany College","Main Street, Bethany, West Virginia 26032","www.bethanywv.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Fringe","Yes","842","812","48%","NA","Fall 2007","$22,020","-","237181","00380800"
"Bethany College","335 E Swensson St, Lindsborg, Kansas 67456-1897","www.bethanylb.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree","Town: Remote","Yes","614","614","39%","NA","Fall 2007","$18,979","-","154721","00190400"
"Bethany Lutheran College","700 Luther Dr, Mankato, Minnesota 56001","www.blc.edu","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","598","598","49%","30%","Fall 2007","$17,742","-","173142","00233700"
"Bethel College","1705 Todds Ln, Hampton, Virginia 23666","bcva.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","49","49","0%","100%","Fall 2007","$11,324","-","458113","04153800"
"Bethel College-Indiana","1001 Bethel Circle, Mishawaka, Indiana 46545-5591","www.bethelcollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","1963","1801","65%","NA","Fall 2007","$18,014","-","150145","00178700"
"Bethel College-North Newton","300 E 27th St, North Newton, Kansas 67117-1716","www.bethelks.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree","Town: Distant","Yes","472","472","53%","NA","Fall 2007","$18,516","-","154749","00190500"
"Bethel University","325 Cherry Ave, McKenzie, Tennessee 38201","www.bethelu.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","6279","5148","30%","NA","Fall 2007","$17,573","-","219718","00348000"
"Bethel University","3900 Bethel Dr, Saint Paul, Minnesota 55112","www.bethel.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","4343","3462","71%","NA","Fall 2007","$26,837","-","173160","00905800"
"Bethesda University of California","730 N. Euclid St, Anaheim, California 92801","www.buc.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","No","349","256","78%","22%","Fall 2007","$8,070","-","110060","03266300"
"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd, Daytona Beach, Florida 32114-3099","www.cookman.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","3543","3486","55%","NA","Fall 2007","$16,518","-","132602","00146700"
